english_word,verb_transitivity,word_class,level,kannada_translation,transliteration
cafe,N/A,noun,a1,ಕ್ಯಾಫೆ / ಕಾಫಿ ಅಂಗಡಿ,kyāphe / kāphi aṁgaḍi
cake,N/A,noun,a1,ಕೇಕ್,kēk
to calculate (to estimate or gauge),transitive,verb,b2,ಲೆಕ್ಕ ಹಾಕು,lekka hāku
to calculate (mathematical),transitive,verb,b1,ಲೆಕ್ಕಾಚಾರ ಮಾಡು / ಲೆಕ್ಕಿಸು,lekkācāra māḍu / lekkisu
calculation (strategic planning),N/A,noun,c1,ಲೆಕ್ಕಾಚಾರ / ಯೋಜನೆ,lekkācāra / yōjane
calculation (mathematical),N/A,noun,b1,ಲೆಕ್ಕಾಚಾರ,lekkācāra
call (telephone),N/A,noun,a1,ಫೋನ್ ಕರೆ / ಕರೆ,phōn kare / kare
"call (shout, cry)",N/A,noun,a1,ಕೂಗು / ಕರೆ,kūgu / kare
to call (by telephone),transitive,verb,a1,ಫೋನ್ ಮಾಡು / ಕರೆ ಮಾಡು,phōn māḍu / kare māḍu
to call (to name or summon),transitive,verb,a1,ಕರೆಯು / ಕೂಗು,kareyu / kūgu
"calm (of a person, composed)",N/A,adjective,b1,ಶಾಂತ / ಸಂಯಮದ,śāṁta / saṁyamada
"calm (weather, sea, tranquil)",N/A,adjective,b1,ಶಾಂತ / ಪ್ರಶಾಂತ,śāṁta / praśāṁta
calm,N/A,noun,b1,ಶಾಂತಿ / ನೆಮ್ಮದಿ,śāṁti / nemmadi
"to calm (someone, something)",transitive,verb,b1,ಶಾಂತಗೊಳಿಸು / ಸಮಾಧಾನ ಮಾಡು,śāṁtagoḷisu / samādhāna māḍu
"to calm down (oneself, a situation)",intransitive,verb,b1,ಶಾಂತವಾಗು / ಸಮಾಧಾನಪಡು,śāṁtavāgu / samādhānapaḍu
camera,N/A,noun,a1,ಕ್ಯಾಮೆರಾ,kyāmerā
camp,N/A,noun,a2,ಶಿಬಿರ / ಕ್ಯಾಂಪ್,śibira / kyāṁp
to camp,N/A,verb,a2,ಶಿಬಿರ ಹಾಕು / ಕ್ಯಾಂಪ್ ಮಾಡು,śibira hāku / kyāṁp māḍu
campaign (military),N/A,noun,b1,ದಂಡಯಾತ್ರೆ,daṁḍayātre
"campaign (political, advertising)",N/A,noun,b1,ಪ್ರಚಾರ,pracāra
to campaign (politically),intransitive,verb,b1,ಮತ ಪ್ರಚಾರ ಮಾಡು,mata pracāra māḍu
to campaign (for a cause),intransitive,verb,b1,ಅಭಿಯಾನ ಮಾಡು,abhiyāna māḍu
camping,N/A,noun,a2,ಕ್ಯಾಂಪಿಂಗ್ / ಶಿಬಿರ ವಾಸ,kyāṁpiṁg / śibira vāsa
campus,N/A,noun,b1,ಕ್ಯಾಂಪಸ್ / ಆವರಣ,kyāṁpas / āvaraṇa
can (for rubbish),N/A,noun,a2,ಕಸದ ತೊಟ್ಟಿ,kasada toṭṭi
can (ability),N/A,modal verb,a1,ಸಾಧ್ಯವಾಗು,sādhyavāgu
"can (permission, request)",N/A,modal verb,a1,ಅನುಮತಿ ಕೊಡು,anumati koḍu
canal (anatomical channel),N/A,noun,b2,ನಾಳ,nāḷa
to cancel,transitive,verb,b2,ರದ್ದು ಮಾಡು,raddu māḍu
Cancer (zodiac sign),N/A,noun,b2,ಕರ್ಕಾಟಕ,karkāṭaka
